#         t          x          y          z         vx         vy         vz
      5.857     -0.480    150.710      3.230    196.860    149.080    134.250
      5.929     10.490    156.800      9.130    121.780     20.060     64.110
      6.000     17.670    157.890     12.140     51.600     -7.100     40.230
      6.071     21.910    156.350     14.000      9.030    -21.700     20.460
      6.143     24.010    152.820     15.370    -15.520    -51.930      9.390
      6.214     24.160    147.090     16.090    -54.180   -117.000    -21.530
      6.286     24.790    141.300     16.030     55.870      0.920     50.590
      6.357     27.440    139.800     18.080     36.330     -7.560     49.300
      6.429     29.570    138.250     20.110     29.450    -27.750     39.580
      6.500     31.260    136.110     21.950     37.740    -34.760     39.290
      6.571     32.820    134.270     24.410     36.150    -26.240     47.590
      6.643     34.620    132.690     26.970     41.710    -26.460     43.950
      6.714     36.890    131.060     29.430     42.080    -27.960     40.840
      6.786     39.470    129.310     31.790     38.780    -34.830     28.360
      6.857     42.060    127.430     34.020     40.090    -33.190     28.070
      6.929     44.550    125.360     36.260     40.030    -33.830     28.670
      7.000     47.020    123.120     38.380     39.520    -31.960     27.360
      7.071     49.440    120.730     40.200     34.440    -36.010     14.300
      7.143     51.910    118.350     41.810     33.660    -30.280     13.450
      7.214     54.450    116.200     43.480     34.690    -27.740     14.090
      7.286     57.100    114.270     45.160     36.860    -28.230     14.730
      7.357     59.740    112.450     46.870     35.660    -24.990     21.280
      7.429     62.270    110.780     48.510     35.570    -22.760     19.780
      7.500     64.910    109.160     50.080     35.930    -24.170     21.530
      7.571     67.560    107.580     51.670     36.030    -21.380     22.330
      7.643     70.220    106.080     53.210     34.360    -21.120     22.030
      7.714     72.830    104.570     54.670     32.120    -20.200     21.990
      7.786     75.440    103.200     56.170     32.400    -17.380     22.370
      7.857     78.040    101.870     57.620     29.150    -19.210     18.220
      7.929     80.640    100.540     59.090     32.590    -18.710     18.330
      8.000     83.270     99.150     60.650     34.970    -18.970     20.500
      8.071     85.810     97.810     62.410     34.810    -16.670     23.100
      8.143     88.220     96.570     64.300     34.390    -16.170     23.300
      8.214     90.540     95.400     66.240     32.360    -17.860     26.390
      8.286     92.760     94.130     68.240     34.940    -18.010     32.040
      8.357     94.990     92.760     70.370     36.410    -19.870     35.030
      8.429     97.380     91.140     72.400     36.460    -25.440     31.590
      8.500     99.870     89.310     74.320     36.690    -28.230     31.160
      8.571    102.530     87.330     76.270     36.190    -27.060     30.520
      8.643    105.100     85.280     78.120     31.530    -32.590     25.000
      8.714    107.440     83.200     80.000     30.260    -29.790     24.360
      8.786    109.780     81.270     81.850     33.560    -27.320     23.740
      8.857    112.140     79.380     83.580     32.160    -29.080     18.950
      8.929    114.370     77.400     85.200     30.520    -26.780     18.840
      9.000    116.550     75.420     86.850     31.780    -26.160     20.720
      9.071    118.610     73.410     88.550     29.120    -23.610     21.290
      9.143    120.590     71.390     90.180     31.160    -25.480     19.650
      9.214    122.570     69.310     91.780     31.870    -26.040     20.930
      9.286    124.500     67.310     93.300     30.150    -24.280     19.240
      9.357    126.460     65.390     94.810     30.950    -25.710     21.270
      9.429    128.370     63.650     96.210     27.670    -22.510     21.610
      9.500    130.260     62.100     97.550     24.900    -17.850     23.950
      9.571    132.240     60.810     98.910     26.580    -15.850     21.890
      9.643    134.310     59.680    100.430     27.710    -14.070     23.190
      9.714    136.550     58.730    102.220     29.470    -13.590     23.700
      9.786    138.920     57.810    104.130     33.020    -14.790     24.250
      9.857    141.420     56.850    106.180     33.680    -18.670     27.430
      9.929    143.930     55.830    108.330     34.460    -21.520     29.920
     10.000    146.420     54.780    110.490     35.240    -19.570     29.570
     10.071    148.980     53.690    112.660     34.770    -19.660     31.320
     10.143    151.570     52.470    114.790     32.640    -18.560     32.400
     10.214    154.170     51.090    116.900     32.810    -20.200     32.240
     10.286    156.910     49.530    118.990     35.420    -19.680     30.030
     10.357    159.660     47.850    121.170     34.880    -22.240     29.050
     10.429    162.320     46.100    123.430     33.770    -22.730     27.300
     10.500    164.850     44.170    125.620     31.770    -28.760     24.140
     10.571    167.180     42.100    127.600     30.760    -31.630     19.830
     10.643    169.310     40.040    129.320     29.820    -28.690     18.800
     10.714    171.220     38.120    130.860     30.650    -27.000     18.470
     10.786    173.010     36.280    132.250     27.450    -25.460     18.700
     10.857    174.650     34.520    133.550     26.180    -18.190     17.950
     10.929    176.290     32.960    134.780     28.120    -17.270     21.510
     11.000    178.000     31.530    136.100     30.020    -15.270     25.710
     11.071    179.930     30.200    137.540     31.250    -16.720     26.800
     11.143    181.940     28.850    139.080     29.300    -20.140     28.400
     11.214    183.970     27.470    140.690     29.020    -20.240     29.300
     11.286    186.130     26.270    142.340     29.530    -16.740     27.470
     11.357    188.390     25.070    144.010     29.560    -21.980     26.690
