#         t          x          y          z         vx         vy         vz
      0.000   -377.720    611.450   -284.610     72.430    -72.590     49.780
      0.071   -372.520    606.250   -281.050     73.040    -74.150     50.360
      0.143   -367.180    600.910   -277.570     75.330    -76.750     50.480
      0.214   -361.770    595.430   -274.010     75.340    -78.560     52.970
      0.286   -356.480    589.900   -270.490     72.390    -81.230     51.790
      0.357   -351.250    584.150   -266.970     69.610    -81.120     49.460
      0.429   -346.170    578.260   -263.510     67.700    -82.400     47.500
      0.500   -341.270    572.280   -260.160     69.100    -82.590     43.530
      0.571   -336.480    566.210   -256.800     66.020    -84.580     45.760
      0.643   -331.950    560.200   -253.500     62.800    -83.600     44.160
      0.714   -327.730    554.320   -250.360     58.750    -81.430     42.130
      0.786   -323.760    548.530   -247.320     52.100    -81.540     43.610
      0.857   -320.140    542.940   -244.360     46.220    -75.810     42.200
      0.929   -316.760    537.630   -241.460     45.650    -71.430     40.030
      1.000   -313.470    532.540   -238.410     45.280    -68.870     43.430
      1.071   -310.280    527.650   -235.130     43.060    -67.150     48.630
      1.143   -307.060    522.990   -231.610     45.360    -64.300     50.210
      1.214   -303.800    518.480   -227.900     47.930    -63.480     54.300
      1.286   -300.390    514.030   -223.910     48.440    -62.310     56.880
      1.357   -296.780    509.670   -219.810     52.620    -61.420     59.240
      1.429   -292.970    505.270   -215.510     55.630    -62.340     62.150
      1.500   -288.890    500.820   -211.040     57.490    -62.470     62.370
      1.571   -284.670    496.340   -206.530     60.330    -62.970     64.110
      1.643   -280.200    491.760   -201.890     63.890    -63.610     63.960
      1.714   -275.500    487.020   -197.110     70.350    -68.510     66.230
      1.786   -270.550    482.140   -192.190     73.370    -68.530     67.400
      1.857   -265.400    477.220   -187.250     75.830    -70.510     70.330
      1.929   -260.010    472.200   -182.250     79.250    -73.690     71.570
      2.000   -254.480    467.040   -177.230     78.910    -73.780     71.030
      2.071   -248.740    461.680   -172.180     83.210    -77.460     71.900
      2.143   -242.760    456.060   -167.000     84.540    -80.290     72.460
      2.214   -236.580    450.230   -161.770     86.480    -81.680     72.780
      2.286   -230.340    444.270   -156.420     89.270    -84.300     72.890
      2.357   -223.980    438.160   -151.090     92.660    -86.900     71.090
      2.429   -217.620    431.760   -145.780     89.160    -91.480     73.010
      2.500   -211.250    425.140   -140.480     89.950    -94.090     73.240
      2.571   -204.750    418.290   -135.130     92.950    -96.420     73.720
      2.643   -198.180    411.290   -129.790     90.810    -98.240     74.530
      2.714   -191.530    404.260   -124.440     94.460    -98.540     72.770
      2.786   -184.710    397.020   -119.050     94.210   -100.530     75.010
      2.857   -177.790    389.590   -113.560     96.530   -104.660     77.110
      2.929   -170.800    381.930   -107.910     96.310   -105.650     77.890
      3.000   -163.800    374.030   -102.160     96.280   -111.790     80.420
      3.071   -156.740    365.860    -96.280     98.540   -112.220     82.100
      3.143   -149.440    357.480    -90.330    101.380   -117.370     82.840
      3.214   -142.040    348.760    -84.280    102.480   -122.220     84.740
      3.286   -134.510    339.680    -78.090    105.260   -129.830     88.400
      3.357   -126.830    330.140    -71.750    111.610   -135.240     87.400
      3.429   -118.760    320.110    -65.400    114.890   -145.150     88.670
      3.500   -110.520    309.430    -59.160    117.410   -158.830     88.130
      3.571   -102.080    297.830    -52.970    119.240   -170.900     91.110
      3.643    -93.400    285.320    -46.890    120.890   -181.950     87.080
      3.714    -84.450    271.670    -41.100    124.750   -200.620     80.320
      3.786    -75.350    256.440    -35.670    125.420   -228.290     73.140
      3.857    -66.390    239.100    -31.010    123.810   -260.520     53.030
      3.929    -58.400    219.110    -28.230     95.690   -298.620     13.190
      4.000    -53.490    197.800    -29.480     41.140   -285.210    -51.670
      4.071    -51.940    179.310    -33.960     11.990   -229.640    -67.130
      4.143    -51.250    164.450    -38.600     15.890   -184.620    -59.900
      4.214    -50.220    152.170    -42.250     19.170   -155.750    -43.600
      4.286    -48.770    141.680    -44.780     22.400   -134.830    -25.680
      4.357    -47.180    132.690    -46.280     20.330   -113.820    -13.450
      4.429    -45.640    124.960    -47.070     18.380    -99.020     -4.610
      4.500    -44.250    118.430    -47.250     17.620    -82.690     -0.100
      4.571    -43.020    113.060    -47.080     15.940    -65.350      3.400
      4.643    -41.930    108.770    -46.620     15.320    -54.990      8.790
      4.714    -40.870    105.320    -45.880     13.730    -44.070     14.010
      4.786    -39.800    102.730    -44.980     13.060    -30.720     14.100
      4.857    -38.720    100.950    -43.980     15.220    -20.970     16.950
      4.929    -37.500     99.850    -42.840     17.330    -12.190     17.920
      5.000    -36.160     99.370    -41.580     18.940     -4.120     22.160
      5.071    -34.700     99.450    -40.060     19.260      6.090     25.150
      5.143    -33.050    100.140    -38.270     23.780     13.800     30.090
      5.214    -31.290    101.350    -36.140     23.880     20.020     34.040
      5.286    -29.370    103.120    -33.740     27.570     28.900     37.760
      5.357    -27.230    105.500    -31.100     31.340     38.150     40.650
      5.429    -24.900    108.540    -28.060     35.150     46.930     46.730
      5.500    -22.430    112.240    -24.620     38.460     55.960     51.950
      5.571    -19.780    116.860    -20.760     42.630     71.200     58.490
      5.643    -16.710    122.550    -16.410     50.080     87.280     68.940
      5.714    -13.050    129.580    -11.310     60.980    110.650     79.410
      5.786     -8.290    138.620     -5.070     80.090    146.340    100.270
